code,name,board,industry
537,绿发电力,深圳证券交易所,公用事业
600688,上海石化,上海证券交易所,石油石化
603885,吉祥航空,上海证券交易所,交通运输
2064,华峰化学,深圳证券交易所,基础化工
300054,鼎龙股份,深圳证券交易所,电子
2602,世纪华通,深圳证券交易所,传媒
600380,健康元,上海证券交易所,医药生物
951,中国重汽,深圳证券交易所,汽车
2432,九安医疗,深圳证券交易所,医药生物
2157,正邦科技,深圳证券交易所,农林牧渔
601108,财通证券,上海证券交易所,非银金融
600352,浙江龙盛,上海证券交易所,基础化工
688266,泽璟制药,上海证券交易所,医药生物
600595,中孚实业,上海证券交易所,有色金属
600021,上海电力,上海证券交易所,公用事业
600765,中航重机,上海证券交易所,国防军工
2916,深南电路,深圳证券交易所,电子
601991,大唐发电,上海证券交易所,公用事业
601607,上海医药,上海证券交易所,医药生物
688234,天岳先进,上海证券交易所,电子
600339,中油工程,上海证券交易所,石油石化
688561,奇安信,上海证券交易所,计算机
603605,珀莱雅,上海证券交易所,美容护理
600104,上汽集团,上海证券交易所,汽车
2,万科A,深圳证券交易所,房地产
601212,白银有色,上海证券交易所,有色金属
688629,华丰科技,上海证券交易所,国防军工
603256,宏和科技,上海证券交易所,建筑材料
776,广发证券,深圳证券交易所,非银金融
2299,圣农发展,深圳证券交易所,农林牧渔
2683,广东宏大,深圳证券交易所,基础化工
688281,华秦科技,上海证券交易所,国防军工
582,北部湾港,深圳证券交易所,交通运输
600873,梅花生物,上海证券交易所,基础化工
603806,福斯特,上海证券交易所,电力设备
300666,江丰电子,深圳证券交易所,电子
2430,杭氧股份,深圳证券交易所,基础化工
3022,联泓新科,深圳证券交易所,电力设备
600711,盛屯矿业,上海证券交易所,有色金属
999,华润三九,深圳证券交易所,医药生物
2304,洋河股份,深圳证券交易所,食品饮料
600392,盛和资源,上海证券交易所,有色金属
603893,瑞芯微,上海证券交易所,电子
688469,芯联集成,上海证券交易所,电子
600362,江西铜业,上海证券交易所,有色金属
601298,青岛港,上海证券交易所,交通运输
1391,国货航,深圳证券交易所,交通运输
88,盐田港,深圳证券交易所,交通运输
2756,永兴材料,深圳证券交易所,有色金属
600276,恒瑞医药,上海证券交易所,医药生物
688349,三一重能,上海证券交易所,电力设备
977,浪潮信息,深圳证券交易所,计算机
32,深桑达A,深圳证券交易所,建筑装饰
601998,中信银行,上海证券交易所,银行
661,长春高新,深圳证券交易所,医药生物
600489,中金黄金,上海证券交易所,有色金属
601138,工业富联,上海证券交易所,电子
600546,山煤国际,上海证券交易所,煤炭
603858,步长制药,上海证券交易所,医药生物
688200,华峰测控,上海证券交易所,电子
688256,寒武纪,上海证券交易所,电子
600642,申能股份,上海证券交易所,公用事业
2648,卫星化学,深圳证券交易所,基础化工
2241,歌尔股份,深圳证券交易所,电子
600025,华能水电,上海证券交易所,公用事业
600900,长江电力,上海证券交易所,公用事业
301236,软通动力,深圳证券交易所,计算机
600885,宏发股份,上海证券交易所,电力设备
688027,国盾量子,上海证券交易所,通信
600998,九州通,上海证券交易所,医药生物
300017,网宿科技,深圳证券交易所,计算机
601838,成都银行,上海证券交易所,银行
600161,天坛生物,上海证券交易所,医药生物
975,山金国际,深圳证券交易所,有色金属
600816,建元信托,上海证券交易所,非银金融
688187,时代电气,上海证券交易所,机械设备
603799,华友钴业,上海证券交易所,有色金属
603298,杭叉集团,上海证券交易所,机械设备
603816,顾家家居,上海证券交易所,轻工制造
603369,今世缘,上海证券交易所,食品饮料
603650,彤程新材,上海证券交易所,基础化工
2056,横店东磁,深圳证券交易所,电力设备
600499,科达制造,上海证券交易所,机械设备
600350,山东高速,上海证券交易所,交通运输
601288,农业银行,上海证券交易所,银行
1965,招商公路,深圳证券交易所,交通运输
2673,西部证券,深圳证券交易所,非银金融
600023,浙能电力,上海证券交易所,公用事业
513,丽珠集团,深圳证券交易所,医药生物
1221,悍高集团,深圳证券交易所,轻工制造
300413,芒果超媒,上海证券交易所,传媒
603920,世运电路,上海证券交易所,电子
600536,中国软件,上海证券交易所,计算机
601988,中国银行,上海证券交易所,银行
688676,金盘科技,上海证券交易所,电力设备
601128,常熟银行,上海证券交易所,银行
2407,多氟多,深圳证券交易所,基础化工
600372,中航机载,上海证券交易所,国防军工
2837,英维克,深圳证券交易所,机械设备
2709,天赐材料,深圳证券交易所,电力设备
601696,中银证券,上海证券交易所,非银金融
600674,川投能源,上海证券交易所,公用事业
2265,建设工业,深圳证券交易所,汽车
601360,三六零,上海证券交易所,计算机
600988,赤峰黄金,上海证券交易所,有色金属
987,越秀资本,深圳证券交易所,非银金融
601816,京沪高铁,上海证券交易所,交通运输
603568,伟明环保,上海证券交易所,环保
651,格力电器,深圳证券交易所,家用电器
688082,盛美上海,上海证券交易所,电子
2429,兆驰股份,深圳证券交易所,家用电器
601001,晋控煤业,上海证券交易所,煤炭
2044,美年健康,深圳证券交易所,医药生物
688411,海博思创,上海证券交易所,电力设备
688396,华润微,上海证券交易所,电子
688538,和辉光电,上海证券交易所,电子
688037,芯源微,上海证券交易所,电子
3031,中瓷电子,深圳证券交易所,通信
600062,华润双鹤,上海证券交易所,医药生物
601112,振石股份,上海证券交易所,建筑材料
688192,迪哲医药,上海证券交易所,医药生物
603179,新泉股份,上海证券交易所,汽车
300395,菲利华,深圳证券交易所,国防军工
300475,香农芯创,深圳证券交易所,电子
300750,宁德时代,深圳证券交易所,电力设备
601868,中国能建,上海证券交易所,建筑装饰
166,申万宏源,深圳证券交易所,非银金融
600909,华安证券,上海证券交易所,非银金融
2335,科华数据,深圳证券交易所,电力设备
807,云铝股份,深圳证券交易所,有色金属
300383,光环新网,深圳证券交易所,通信
603728,鸣志电器,上海证券交易所,电力设备
601318,中国平安,上海证券交易所,非银金融
600256,广汇能源,上海证券交易所,煤炭
600027,华电国际,上海证券交易所,公用事业
600050,中国联通,上海证券交易所,通信
600348,华阳股份,上海证券交易所,煤炭
600188,兖矿能源,上海证券交易所,煤炭
